Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerPictureId
67,Sterling Brown,SG,27,LAL,4,0,6,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0.8,1.3,2,0.5,0.8,0,0,1,0,24,0,4,0,2,0,2,0,0,3,5,8,2,3,0,0,4,0,fallback
68,Troy Brown Jr.,SF,23,LAL,76,45,24.5,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.545,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,1860,200,465,107,281,93,184,34,39,62,246,308,95,59,16,49,120,541,fallback
69,Jalen Brunson,PG,26,NYK,68,68,35,8.6,17.6,0.491,2,4.7,0.416,6.7,12.8,0.519,0.547,4.8,5.8,0.829,0.6,3,3.5,6.2,0.9,0.2,2.1,2.2,24,2379,587,1195,134,322,453,873,325,392,40,201,241,421,61,15,142,152,1633,fallback
70,Thomas Bryant,C,25,TOT,59,26,18.3,3.9,6.3,0.623,0.4,1,0.441,3.5,5.3,0.658,0.659,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,1081,230,369,26,59,204,310,93,126,86,253,339,31,16,30,38,102,579,fallback
71,Reggie Bullock,SF,31,DAL,78,55,30.3,2.5,6,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.569,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,2364,192,470,151,397,41,73,26,37,32,251,283,108,54,13,36,166,561,fallback
72,Alec Burks,SG,31,DET,51,8,22,3.9,9,0.436,1.9,4.7,0.414,2,4.3,0.459,0.544,3,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,1122,200,459,99,239,101,220,153,188,19,139,158,114,38,8,58,98,652,fallback
73,Deonte Burton,SG,29,SAC,2,0,3,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,fallback
74,Jared Butler,SG,22,OKC,6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3,0.444,0.578,0,0,0,0.2,0.5,0.7,1.3,0.8,0,0.8,0.8,6.2,77,15,32,7,14,8,18,0,0,1,3,4,8,5,0,5,5,37,fallback
75,Jimmy Butler,SF,33,MIA,64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,0.56,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,2138,479,888,36,103,443,785,472,555,141,234,375,340,117,21,101,80,1466,fallback
76,John Butler,C,20,POR,19,1,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.396,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,221,17,53,8,35,9,18,3,4,3,14,17,11,7,9,1,22,45,fallback
77,Jamal Cain,SF,23,MIA,18,0,13.3,2.1,3.7,0.561,0.4,1.1,0.35,1.7,2.6,0.652,0.614,0.9,1.2,0.773,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,240,37,66,7,20,30,46,17,22,15,37,52,12,11,1,6,21,98,fallback
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,0.569,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,2381,292,632,135,319,157,313,103,125,35,173,208,183,112,35,86,145,822,fallback
79,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.346,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3,52,3,13,3,11,0,2,1,2,0,2,2,9,6,0,3,3,10,fallback
80,Vlatko Cancar,PF,25,DEN,60,9,14.8,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.57,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5,889,108,227,43,115,65,112,38,41,24,104,128,80,22,14,37,84,297,fallback
81,Clint Capela,C,28,ATL,65,63,26.6,5.4,8.2,0.653,0,0,0,5.4,8.2,0.654,0.653,1.2,2,0.603,4,7.1,11,0.9,0.7,1.2,0.8,2.1,12,1730,350,536,0,1,350,535,79,131,258,459,717,58,45,79,54,139,779,fallback
82,Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,0.25,0,0,0,0.2,0.7,0.25,0.25,0.2,0.2,1,0.3,0.7,1,0.3,0.2,0.2,0.2,0.5,0.5,28,2,8,0,0,2,8,2,2,3,8,11,3,2,2,2,5,6,fallback
83,Jevon Carter,PG,27,MIL,81,39,22.3,3,7,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.549,0.4,0.5,0.816,0.4,2.1,2.5,2.4,0.8,0.4,1,2,8,1810,239,565,142,337,97,228,31,38,35,167,202,197,66,29,78,158,651,fallback
84,Wendell Carter Jr.,C,23,ORL,57,54,29.6,5.6,10.8,0.525,1.4,3.9,0.356,4.2,6.8,0.624,0.591,2.5,3.4,0.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,1690,322,613,80,225,242,388,144,195,120,377,497,132,30,33,106,159,868,fallback
85,Michael Carter-Williams,PG,31,ORL,4,0,11,1.5,3.5,0.429,0.3,0.8,0.333,1.3,2.8,0.455,0.464,1,1.8,0.571,0.3,1,1.3,1.8,0.3,0.3,1,1.3,4.3,44,6,14,1,3,5,11,4,7,1,4,5,7,1,1,4,5,17,fallback
86,Alex Caruso,PG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,1575,130,286,55,151,75,135,59,73,42,154,196,193,98,46,77,159,374,fallback
